city,state,for_sale_last_modified,sold_last_modified
Anchorage,AK,2/21/2021 14:21,2021-02-21 14:23:00
Juneau,AK,2/21/2021 14:21,2021-02-21 14:23:00
Fairbanks,AK,2/21/2021 14:21,2021-02-21 14:23:00
Badger,AK,2/7/2021 7:55,2021-02-21 14:23:00
Knik-Fairview,AK,2/7/2021 7:55,2021-02-21 14:23:00
College,AK,2/7/2021 7:55,2021-02-21 14:23:00
Tanaina,AK,2/7/2021 7:55,2021-02-21 14:23:00
Lakes,AK,2/7/2021 7:55,2021-03-07 09:15:00
Wasilla,AK,2/7/2021 7:55,2021-03-07 09:15:00
Sitka,AK,2/7/2021 7:55,2021-03-07 09:15:00
Kalifornsky,AK,2/7/2021 7:55,2021-03-07 09:15:00
Ketchikan,AK,2/7/2021 7:55,2021-03-07 09:15:00
Meadow Lakes,AK,2/7/2021 7:55,2021-03-07 09:15:00
Kenai,AK,2/7/2021 7:55,2021-03-07 09:15:00
Steele Creek,AK,2/7/2021 7:55,2021-03-07 09:15:00
Palmer,AK,2/7/2021 7:55,2021-03-07 09:15:00
Gateway,AK,2/7/2021 7:55,2021-03-07 09:15:00
Fishhook,AK,2/7/2021 7:55,2021-03-07 09:15:00
Bethel,AK,2/7/2021 7:55,2021-03-07 09:15:00
Chena Ridge,AK,2/7/2021 7:55,2021-03-07 09:15:00
Kodiak,AK,2/7/2021 7:55,2021-03-07 09:15:00
Homer,AK,2/7/2021 7:55,2021-03-07 09:15:00
Farmers Loop,AK,2/7/2021 7:55,2021-03-07 09:15:00
Sterling,AK,2/7/2021 7:55,2021-03-07 09:15:00
Birmingham,AL,2/4/2021 17:03,2021-03-07 09:15:00
Montgomery,AL,2/4/2021 17:03,2021-03-07 09:15:00
Huntsville,AL,2/4/2021 17:03,2021-03-07 09:15:00
Mobile,AL,2/4/2021 17:03,2021-03-07 09:15:00
Tuscaloosa,AL,2/4/2021 17:03,2021-03-07 09:15:00
Hoover,AL,2/4/2021 17:03,2021-03-07 09:15:00
Dothan,AL,2/4/2021 17:03,2021-03-07 09:15:00
Auburn,AL,2/4/2021 17:03,2021-03-07 09:15:00
Decatur,AL,2/4/2021 17:03,2021-03-07 09:15:00
Madison,AL,2/7/2021 7:55,2021-03-07 09:15:00
Florence,AL,2/7/2021 7:55,2021-03-07 09:15:00
Phenix City,AL,2/7/2021 7:55,2021-03-07 09:15:00
Prattville,AL,2/7/2021 8:11,2021-03-07 09:15:00
Gadsden,AL,2/7/2021 8:11,2021-03-07 09:15:00
Vestavia Hills,AL,2/7/2021 8:11,2021-03-07 09:15:00
Alabaster,AL,2/7/2021 8:11,2021-03-07 09:15:00
Opelika,AL,2/7/2021 8:11,2021-03-07 09:15:00
Enterprise,AL,2/7/2021 8:11,2021-03-07 09:15:00
Bessemer,AL,2/7/2021 8:11,2021-03-07 09:15:00
Athens,AL,2/7/2021 8:11,2021-03-07 09:15:00
Daphne,AL,2/7/2021 8:11,2021-03-07 09:15:00
Northport,AL,2/7/2021 8:11,2021-03-07 09:15:00
Homewood,AL,2/7/2021 8:11,2021-03-07 09:15:00
Pelham,AL,2/7/2021 8:11,2021-03-07 09:15:00
Trussville,AL,2/7/2021 8:11,2021-03-07 09:15:00
Prichard,AL,2/7/2021 8:11,2021-03-07 09:15:00
